"vessel_ids";"radius";"height"
"027";12.639396114652;28.6593667821208
"030";16.508245915632;32.4401779469259
"031";17.5942467087162;35.875700252089
"032";17.2566829220232;30.490900607774
"033";15.030112453532;28.948326867724
"035";17.400709422699;34.801418845398
"036";18.530588593647;36.5713842862798
"038";18.4444242036608;40.2666470061582
"040";18.124184955639;36.3581572567544
"041";17.2468229437299;31.8966513157609
"042";14.7613758231142;30.0943104300188
"045";15.4488862569172;30.6801314649642
"046";18.1887276551241;34.9193899746405
"049";12.9837930166767;25.1335247716809
"052";21.3397790055249;47.5276423723636
"053";22.944;54.288
"054";21.613390953545;56.8849114453614
"056";22.2931034482759;58.3448275862069
"057";22.9855805355694;54.4932349438188
"059";18.0258485444563;34.414023588833
"060";15.8646512442415;30.0947797292354
"062";14.8298610506244;28.0438241164791
"063";17.6178758444875;40.4713375796178
"064";14.5058448459086;30.0956429330499
"066";22.7682113828087;52.2551349144825
"068";17.9484029484029;39.8771669081245
"069";19.1643059490085;43.9376770538244
"070";21.2108097345862;53.1838565022422
"071";21.6221015452672;58.5952357982645
"072";15.0983811376154;32.7446123468434
"075";16.7687021565014;33.5372992607019
"076";19.722499901865;36.851628382791
"078";14.2395019087904;30.1100421612083
"079";15.0392524445471;31.6528863806247
"087";18.8709431959795;46.0160946179624
"090";20.4449095452386;52.846975088968
"091";18.7627051426653;47.0064260674119
"092";18.7988225721937;56.2228735886933
"093";20.7462764101336;54.1768762244729
"094";19.5819935691318;46.7849637003675
"080";15.9208523592085;36.6514459665145
"081";15.6879689122948;32.93618243016
"082";16.3812387615945;33.0110959568783
"084";15.3866897746794;30.8266782006899
"086";19.5532357417524;45.1546248260795
